arxiv_id	published	title	exports	semantic_flags	flag_evidence	mapping_kind	disposition_code	class_definition	flag_resolution	reason	source	composite_required	composite_resolution	embedded_result_count	composite_reason	fulltext_resolution	fulltext_account_count	fulltext_paper_path	fulltext_pdf_sha256	fulltext_text_sha256	fulltext_reason
2608.03859	2026-08-04	Beyond Representational Similarity: Source-Conditioned Description-Length Gain for Generative Plagiarism Detection and Candidate Source Reranking	coverage_query_llm_generated.atom	comparative;metric	se benchmark, SCDG achieves 0.92 Precision, 0.97 Recall, and 0.94 F1, outperforming all baselines; on PAN 2026's multi-source retrieval task, it reaches 0.83 nDCG@10 and 0.96 Recall@100, surpas || giarism. On a PAN 2025-derived pairwise benchmark, SCDG achieves 0.92 Precision, 0.97 Recall, and 0.94 F1, outperforming all baselines; on PAN 2026's multi-source retrieval task, it reaches	non_candidate_class	different_task	classification target differs from human-versus-machine documents	false_positive	The reported F1, recall, and ranking gains concern candidate-source plagiarism retrieval, not human-versus-machine authorship detection.	https://arxiv.org/abs/2608.03859	false	not_composite	0	not_composite	primary_result	23	papers/2608.03859.pdf	d2b389eff694e14eaf6c9697dadeb673506ca228e7e6fdbb85454e86e315b098	94c84cf9eec8be35b1dac59124aec94d6a0e885efb26b481851937094830b352	Full text yields 23 exact account(s); the immutable account inventory is compared with distinct disposition targets.
2608.01046	2026-08-02	DeBERTa-Sentinel: Toward Transparent and Trustworthy Detection of AI-Generated Text	coverage_query_ai_generated.atom	comparative;metric;high_percent	0-20 split, DeBERTa-Sentinel achieves 98.21\% validation accuracy and surpasses the RoBERTa-Sentinel baseline from NeurIPS 2025, achieving 97.53\% test accuracy, 95.89\% precision, 99.33\% || ) with a 60-20-20 split, DeBERTa-Sentinel achieves 98.21\% validation accuracy and surpasses the RoBERTa-Sentinel baseline from NeurIPS 2025, achieving 97.53\% test accuracy, 95.89\% preci || , LLaMA, and Claude) with a 60-20-20 split, DeBERTa-Sentinel achieves 98.21\% validation accuracy and surpasses the RoBERTa-Sentinel baseline from NeurIPS 2025, achieving 97.53\% test acc	explicit_disposition	retain_reject	individually reviewed detector fails one or more fixed gates	candidate_disposition	The high GLC random-split metrics lack a released checkpoint and cross-distribution, low-FPR, or fixed A6000 comparison.	https://arxiv.org/abs/2608.01046	false	not_composite	0	not_composite	primary_result	4	papers/2608.01046.pdf	5eac5dbc2876863413a0e16d4c308adce57903de65dc7bb5e125d3af27c6a850	fd3a5a96be050dc7968fd619e753ccb03a2330fbacd031ea58d6023bb7b5fecf	Full text yields 4 exact account(s); the immutable account inventory is compared with distinct disposition targets.
2607.23805	2026-07-26	The Influence of Fraudulent AI-Generated Responses on Software Engineering Surveys	coverage_query_ai_generated.atom	none	none	non_candidate_class	evaluation_study	comparison of existing detectors rather than a detector proposal	not_flagged	This is a secondary study of fraudulent survey responses that uses existing detectors rather than proposing a detector.	https://arxiv.org/abs/2607.23805	true	no_qualifying_result	0	The work uses Scribbr scores to study fraudulent survey responses but supplies no labeled detector evaluation or qualifying embedded system result.	no_qualifying_account	0	papers/2607.23805.pdf	68cfa9d5099e342aeb31c017a4df20a2f42ae2ec0aaa0624c13545c443e13af2	e127b6e61ad7e6d77cbecf0b706012b6b92f7e90858cbbdd7c6167af1e8b5360	Tables report survey-response distributions and downstream statistical effects, not a validated detector system, threshold metric, or claimed best detector.
2607.22026	2026-07-24	DWT-Fusion: A Signal-Based Framework for Training-Free LLM-Generated Text Detection	coverage_query_llm_generated.atom	best;comparative;metric	PT-Neo-2.7B, GPT-J-6B, Falcon-7B, and LLaMA-3-8B as proxy models. The best single wavelet configurations achieve AUROC values of 0.9872, 0.8185, and 0.7138 on HC3, M4, and MAGE, respec || With calibration-weighted voting, the best ensemble variants further improve AUROC to 0.9919, 0.8477, and 0.7471. These findings show that DWT-based multiresolution scoring and calibrati || -3-8B as proxy models. The best single wavelet configurations achieve AUROC values of 0.9872, 0.8185, and 0.7138 on HC3, M4, and MAGE, respectively. With calibration-weighted voting, th	explicit_disposition	retain_reject	individually reviewed detector fails one or more fixed gates	candidate_disposition	The training-free method trails stronger candidates on reported M4/MAGE results and has no released detector state or fixed deployment comparison.	https://arxiv.org/abs/2607.22026	false	not_composite	0	not_composite	primary_result	7	papers/2607.22026.pdf	ed489430b1093e3f9118c7ee63a7607900274ac71c1fca695a401cc864ab6bd6	9d175be36a0cf2e1c1463c0f405232ffd348d2a3aa7e69d4c91e136039b6c758	Full text yields 7 exact account(s); the immutable account inventory is compared with distinct disposition targets.
2607.17382	2026-07-19	Team DACTYL at PAN 2026: Bayesian Data Mixing and Empirical X-risk Minimization for AI-text Detection	coverage_query_ai_generated.atom	best;comparative;metric	. ModernBERT-large achieves a score of 0.96 while MCGrad achieves the best score of the three with a mean score of 0.974, ranking second on the leaderboard. Our results highlight that || atures. However, combining different training datasets doesn't always improve performance and, in some cases, can even encourage shortcut learning. To address this issue, we fine-tune BER || s a mean score of 0.882 on the PAN 2026 test set across five metrics: AUROC, $F_1$, C@1, Brier score, and $F_{0.5u}$. ModernBERT-large achieves a score of 0.96 while MCGrad achieves the	explicit_disposition	released_watchlist	public detector retained pending fixed-screen evidence	candidate_disposition	The released ModernBERT and PAN result lack a same-row Binoculars result, low-FPR transfer, 2,048-token memory, and A6000 timing.	https://arxiv.org/abs/2607.17382	false	not_composite	0	not_composite	primary_result	3	papers/2607.17382.pdf	60fbe410d18e586aa4720669721791a9f920c08bcd4d955b91feb86e5fe3c9f4	871c4983bd318a7304ce6cb3d16218d6f6d26cca3db48108769675e1e9c243a0	Full text yields 3 exact account(s); the immutable account inventory is compared with distinct disposition targets.
2607.14967	2026-07-16	Latent Trajectory Discrimination for AI-Generated Text Detection	coverage_query_ai_generated.atom	comparative	d on three different benchmarks and several approaches show that GTCL outperforms detection baselines consistently, which implies that explicitly modeling sequential dynamics provides robust	explicit_disposition	exclude_retrieval	inference retrieves a retained example or nearest neighbor	candidate_disposition	Official inference uses k-nearest-neighbor classification over retained representations, violating the no-retrieval constraint.	https://arxiv.org/abs/2607.14967	false	not_composite	0	not_composite	primary_result	5	papers/2607.14967.pdf	e55aad9c55f4b35c89a44b329b32ab84fe4e3d91c2d5ab60090f010fb2ec5ae1	6e4cc6950d5220fa558bc14e802cc777a8809c52c1bafeef72b0ac9a1952bbde	Full text yields 5 exact account(s); the immutable account inventory is compared with distinct disposition targets.
2607.14905	2026-07-16	Show Me How You Reason and I'll Tell You Who You Are: Reasoning Graphs for Robust LLM Authorship Attribution	coverage_query_llm_generated.atom	comparative	soning graphs extracted by an argument mining pipeline, demonstrating improved robustness and generalisation over a traditional Longformer baseline. Our approach outperforms the baseline b	non_candidate_class	different_task	classification target differs from human-versus-machine documents	false_positive	The improvement percentages concern multi-class LLM authorship attribution from reasoning graphs, not the fixed binary general-document task.	https://arxiv.org/abs/2607.14905	false	not_composite	0	not_composite	primary_result	5	papers/2607.14905.pdf	34d5069f871d7e6da0fab421228a9912b3542b2815947ff9a2afea3c4734e5a0	58313a9821684660aa2a36f72b8dfb4646261f8061f61df95ea62086922cf783	Full text yields 5 exact account(s); the immutable account inventory is compared with distinct disposition targets.
2607.03680	2026-07-04	Rethinking AI-Generated Text Detection: A Strong Baseline and the Distribution-Shift Problem That Remains	coverage_query_ai_generated.atom	comparative	benchmarks, we show that a plain, fully fine-tuned RoBERTa matches or exceeds the specialized detectors those benchmarks are built around. This suggests that much of the recent architectu	explicit_disposition	retain_reject	individually reviewed detector fails one or more fixed gates	candidate_disposition	The strong in-distribution RoBERTa baseline is distribution-shift evidence, not a released low-FPR detector with fixed DW1 parity.	https://arxiv.org/abs/2607.03680	false	not_composite	0	not_composite	primary_result	3	papers/2607.03680.pdf	94ae79a9fae11a16e84352b483c02fccd9dcfe670dc329b8796c1ee680d66cc2	99d22c354e4a641cefe67aff5f27b7755e2f399de6c80811fc3ed539ded988c0	Full text yields 3 exact account(s); the immutable account inventory is compared with distinct disposition targets.
2606.31074	2026-06-30	Triospect: A Three-Dimensional Framework for Robust Statistical AI-Generated Text Detection Against Diverse Attacks	coverage_query_ai_generated.atom	comparative;metric	models demonstrate that Triospect is robust against these attacks. It improves the strong baseline by a significant margin of 22.3% (AUROC) and 13% (TPR01) on the Humanize-16K after-attack || ks. It improves the strong baseline by a significant margin of 22.3% (AUROC) and 13% (TPR01) on the Humanize-16K after-attack subset, and by 9.1% (AUROC) and 22% (TPR01) on the adversar	explicit_disposition	exclude_generation	inference generates new content	candidate_disposition	Inference generates summaries and simplifications and aggregates transformed views, violating regeneration, rewriting, and multi-view constraints.	https://arxiv.org/abs/2606.31074	false	not_composite	0	not_composite	primary_result	9	papers/2606.31074.pdf	421bba6e4fb73f25140e0b25eea89662007d1ea0e16bdd9496b581787dd9fc88	15f39f0866b38f615ad398cd237ce1566daff44d33f37d701c64a62401cc9fcb	Full text yields 9 exact account(s); the immutable account inventory is compared with distinct disposition targets.
2606.23336	2026-06-22	WaveDetect: Robust Framework for Machine-Generated Text Detection via Wavelet Transform	coverage_query_llm_generated.atom;coverage_query_machine_generated.atom	sota;comparative;metric	RAID, EvoBench, and Domain-Shift) show that our method achieves a new state-of-the-art. It not only achieves superior accuracy but also exhibits remarkable robustness against sophisticated attacks || that our method achieves a new state-of-the-art. It not only achieves superior accuracy but also exhibits remarkable robustness against sophisticated attacks, generalization across out-of- || method achieves a new state-of-the-art. It not only achieves superior accuracy but also exhibits remarkable robustness against sophisticated attacks, generalization across out-of-distribut	explicit_disposition	retain_reject	individually reviewed detector fails one or more fixed gates	candidate_disposition	The released checkpoint is fast, but the frozen same-row screen measured 0.8906 AUROC versus 0.9595 for Binoculars.	https://arxiv.org/abs/2606.23336	false	not_composite	0	not_composite	primary_result	2	papers/canonical_wavedetect_2606.23336.pdf	0abf552d30db2806cb6d07edfad0a025c70d8ce8aa9b69c9964f77e7bb0b81b6	a5ba4a31b82c12f98f499d87c10d3589bff80648e357ed77b6de2542024df8ac	Full text yields 2 exact account(s); the immutable account inventory is compared with distinct disposition targets.
